profile,policy_a,policy_b,metric,higher_is_better,shared_seed_count,eligible_pairs,mean_a,mean_b,mean_difference_b_minus_a,a_better,ties,b_better
dynamic-change,purify-active,purify-passive,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
dynamic-change,purify-active,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
dynamic-change,purify-active,purify-passive,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
dynamic-change,purify-active,purify-passive,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
dynamic-change,purify-active,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
dynamic-change,purify-active,v3-logodds,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
dynamic-change,purify-active,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
dynamic-change,purify-active,v3-logodds,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
dynamic-change,purify-active,v3-logodds,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
dynamic-change,purify-passive,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
dynamic-change,purify-passive,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
dynamic-change,purify-passive,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
dynamic-change,purify-passive,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
dynamic-change,purify-passive,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,conformal-only,lineage-only,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,conformal-only,lineage-only,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,lineage-only,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,lineage-only,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,conformal-only,lineage-only,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,conformal-only,naive-majority,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,conformal-only,naive-majority,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,naive-majority,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,naive-majority,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,conformal-only,naive-majority,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,conformal-only,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,conformal-only,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
evidence-echo,conformal-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
evidence-echo,conformal-only,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
evidence-echo,conformal-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,conformal-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,conformal-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,conformal-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,conformal-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,conformal-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,conformal-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,lineage-only,naive-majority,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,lineage-only,naive-majority,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,lineage-only,naive-majority,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,lineage-only,naive-majority,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,lineage-only,naive-majority,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,lineage-only,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,lineage-only,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
evidence-echo,lineage-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,lineage-only,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
evidence-echo,lineage-only,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
evidence-echo,lineage-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,lineage-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,lineage-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,lineage-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,lineage-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,lineage-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,lineage-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,lineage-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,lineage-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,lineage-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,naive-majority,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,naive-majority,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
evidence-echo,naive-majority,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,naive-majority,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
evidence-echo,naive-majority,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
evidence-echo,naive-majority,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,naive-majority,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,naive-majority,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,naive-majority,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,naive-majority,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,naive-majority,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,naive-majority,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,naive-majority,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,naive-majority,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,naive-majority,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
evidence-echo,purify-active,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,purify-active,purify-passive,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
evidence-echo,purify-active,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,purify-active,purify-passive,echo_rejection_success,True,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,purify-active,purify-passive,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
evidence-echo,purify-active,purify-passive,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
evidence-echo,purify-active,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,purify-active,v3-logodds,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
evidence-echo,purify-active,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,purify-active,v3-logodds,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
evidence-echo,purify-active,v3-logodds,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
evidence-echo,purify-passive,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
evidence-echo,purify-passive,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,purify-passive,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
evidence-echo,purify-passive,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
evidence-echo,purify-passive,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,conformal-only,lineage-only,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,conformal-only,lineage-only,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,lineage-only,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,lineage-only,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,conformal-only,lineage-only,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,conformal-only,naive-majority,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,conformal-only,naive-majority,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,naive-majority,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,naive-majority,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,conformal-only,naive-majority,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,conformal-only,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,conformal-only,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
independent-noise,conformal-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
independent-noise,conformal-only,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
independent-noise,conformal-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,conformal-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,conformal-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,conformal-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,conformal-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,conformal-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,conformal-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,lineage-only,naive-majority,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,lineage-only,naive-majority,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,lineage-only,naive-majority,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,lineage-only,naive-majority,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,lineage-only,naive-majority,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,lineage-only,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,lineage-only,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
independent-noise,lineage-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,lineage-only,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
independent-noise,lineage-only,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
independent-noise,lineage-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,lineage-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,lineage-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,lineage-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,lineage-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,lineage-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,lineage-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,lineage-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,lineage-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,lineage-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,naive-majority,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,naive-majority,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
independent-noise,naive-majority,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,naive-majority,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
independent-noise,naive-majority,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
independent-noise,naive-majority,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,naive-majority,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,naive-majority,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,naive-majority,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,naive-majority,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,naive-majority,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,naive-majority,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,naive-majority,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,naive-majority,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,naive-majority,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
independent-noise,purify-active,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,purify-active,purify-passive,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
independent-noise,purify-active,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,purify-active,purify-passive,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
independent-noise,purify-active,purify-passive,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
independent-noise,purify-active,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,purify-active,v3-logodds,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
independent-noise,purify-active,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,purify-active,v3-logodds,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
independent-noise,purify-active,v3-logodds,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
independent-noise,purify-passive,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
independent-noise,purify-passive,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
independent-noise,purify-passive,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
independent-noise,purify-passive,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
independent-noise,purify-passive,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,conformal-only,lineage-only,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,conformal-only,lineage-only,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,lineage-only,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,lineage-only,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
ood-severity,conformal-only,lineage-only,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,conformal-only,naive-majority,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,conformal-only,naive-majority,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,naive-majority,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,naive-majority,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
ood-severity,conformal-only,naive-majority,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,conformal-only,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,conformal-only,purify-active,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,purify-active,observation_count,False,2,2,1.0,4.0,3.0,2,0,0
ood-severity,conformal-only,purify-active,path_length,False,2,2,4.785579015970363,5.174647808935769,0.38906879296540664,2,0,0
ood-severity,conformal-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,conformal-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
ood-severity,conformal-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,conformal-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,conformal-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,conformal-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
ood-severity,conformal-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,lineage-only,naive-majority,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,lineage-only,naive-majority,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,naive-majority,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,naive-majority,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
ood-severity,lineage-only,naive-majority,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,lineage-only,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,lineage-only,purify-active,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,purify-active,observation_count,False,2,2,1.0,4.0,3.0,2,0,0
ood-severity,lineage-only,purify-active,path_length,False,2,2,4.785579015970363,5.174647808935769,0.38906879296540664,2,0,0
ood-severity,lineage-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,lineage-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
ood-severity,lineage-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,lineage-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,lineage-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
ood-severity,lineage-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
ood-severity,lineage-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
ood-severity,naive-majority,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
ood-severity,naive-majority,purify-active,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
ood-severity,naive-majority,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
